site_id,date,value,unit,parameter_code,parameter_name,record_count,source
USGS-03343395,1991-01-15,0.065,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1991-02-28,0.013,mg/l as P,00665,Total Phosphorus,1,embarrass.xlsx
USGS-03343395,1991-03-25,0.08499999999999999,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1991-05-07,0.13,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1991-06-03,0.10500000000000001,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1991-08-01,0.19,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1991-09-18,0.13,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1991-10-29,0.157,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1991-12-12,0.045,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1992-01-29,0.02,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1992-03-11,0.035,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1992-05-07,0.035,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1992-07-01,0.07,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1992-09-09,0.13,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1993-04-05,0.034,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1993-05-19,0.04,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1993-06-30,0.11,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1993-08-04,0.07,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1993-09-14,0.07500000000000001,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1994-02-17,0.19,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1994-03-09,0.065,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1994-04-07,0.055,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1994-05-16,0.045,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1994-06-27,0.09,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1994-08-29,0.155,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1994-09-21,0.115,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1994-10-26,0.14100000000000001,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1994-12-08,0.09,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1995-01-24,0.03,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1995-02-23,0.02,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1995-04-11,0.03,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1995-05-18,0.53,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1995-07-17,0.09,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1995-09-15,0.165,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1995-11-01,0.103,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1995-12-21,0.03,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1996-01-24,0.156,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1996-02-27,0.21500000000000002,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1996-03-21,0.015,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1996-05-07,0.10500000000000001,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1996-06-20,0.15,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1996-07-24,0.08,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1996-08-22,0.11000000000000001,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1996-10-31,0.12,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1996-12-04,0.045,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1997-01-21,0.015,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1997-02-20,0.04,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1997-03-19,0.055,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343395,1997-04-15,0.025,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03343450,2004-09-29,0.028499999999999998,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03344000,1973-07-12,0.41000000000000003,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03344000,1973-08-08,0.24,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03344000,1973-09-12,0.995,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03344000,1973-10-12,0.79,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03344000,1973-11-08,0.9249999999999999,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03344000,1973-12-07,0.16,mg/l as P,00665,Total Phosphorus,1,embarrass.xlsx
USGS-03344000,1974-01-09,0.07,mg/l as P,00665,Total Phosphorus,1,embarrass.xlsx
USGS-03344000,1974-02-07,0.1,mg/l as P,00665,Total Phosphorus,1,embarrass.xlsx
USGS-03344000,1974-03-07,0.29,mg/l as P,00665,Total Phosphorus,1,embarrass.xlsx
USGS-03344000,1974-04-04,0.11,mg/l as P,00665,Total Phosphorus,1,embarrass.xlsx
USGS-03344000,1974-05-08,0.07,mg/l as P,00665,Total Phosphorus,1,embarrass.xlsx
USGS-03344000,1974-06-05,0.19,mg/l as P,00665,Total Phosphorus,1,embarrass.xlsx
USGS-03344000,1974-07-30,0.17,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03344000,1974-09-04,0.23,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03344000,1974-10-09,0.34,mg/l as P,00665,Total Phosphorus,1,embarrass.xlsx
USGS-03344000,1974-11-06,0.73,mg/l as P,00665,Total Phosphorus,1,embarrass.xlsx
USGS-03344000,1974-12-04,0.26,mg/l as P,00665,Total Phosphorus,1,embarrass.xlsx
USGS-03344000,1975-01-07,0.11,mg/l as P,00665,Total Phosphorus,1,embarrass.xlsx
USGS-03344000,1975-02-05,0.15,mg/l as P,00665,Total Phosphorus,1,embarrass.xlsx
USGS-03344000,1975-03-06,0.12,mg/l as P,00665,Total Phosphorus,1,embarrass.xlsx
USGS-03344000,1975-04-08,0.10500000000000001,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03344000,1975-05-12,0.37,mg/l as P,00665,Total Phosphorus,1,embarrass.xlsx
USGS-03344000,1975-06-04,0.15000000000000002,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03344000,1975-07-10,0.27,mg/l as P,00665,Total Phosphorus,1,embarrass.xlsx
USGS-03344000,1975-08-08,0.18,mg/l as P,00665,Total Phosphorus,1,embarrass.xlsx
USGS-03344000,1975-09-05,0.28,mg/l as P,00665,Total Phosphorus,1,embarrass.xlsx
USGS-03344000,1975-10-01,0.27,mg/l as P,00665,Total Phosphorus,1,embarrass.xlsx
USGS-03344000,1975-11-07,0.42,mg/l as P,00665,Total Phosphorus,1,embarrass.xlsx
USGS-03344000,1975-12-01,0.2,mg/l as P,00665,Total Phosphorus,1,embarrass.xlsx
USGS-03344000,1976-01-13,0.18,mg/l as P,00665,Total Phosphorus,1,embarrass.xlsx
USGS-03344000,1976-02-11,0.62,mg/l as P,00665,Total Phosphorus,1,embarrass.xlsx
USGS-03344000,1976-03-19,0.11,mg/l as P,00665,Total Phosphorus,1,embarrass.xlsx
USGS-03344000,1976-04-20,0.28,mg/l as P,00665,Total Phosphorus,1,embarrass.xlsx
USGS-03344000,1976-05-19,0.26,mg/l as P,00665,Total Phosphorus,1,embarrass.xlsx
USGS-03344000,1976-06-16,0.37,mg/l as P,00665,Total Phosphorus,1,embarrass.xlsx
USGS-03344000,1976-07-27,0.3,mg/l as P,00665,Total Phosphorus,1,embarrass.xlsx
USGS-03344000,1976-08-17,0.38,mg/l as P,00665,Total Phosphorus,1,embarrass.xlsx
USGS-03344000,1976-10-05,0.99,mg/l as P,00665,Total Phosphorus,1,embarrass.xlsx
USGS-03344000,1978-01-05,0.12,mg/l as P,00665,Total Phosphorus,1,embarrass.xlsx
USGS-03344000,1978-02-08,0.36,mg/l as P,00665,Total Phosphorus,1,embarrass.xlsx
USGS-03344000,1978-04-03,2.0,mg/l as P,00665,Total Phosphorus,1,embarrass.xlsx
USGS-03344000,1978-05-02,0.12,mg/l as P,00665,Total Phosphorus,1,embarrass.xlsx
USGS-03344000,1978-05-24,0.28,mg/l as P,00665,Total Phosphorus,1,embarrass.xlsx
USGS-03344000,1978-07-03,0.37,mg/l as P,00665,Total Phosphorus,1,embarrass.xlsx
USGS-03344000,1978-07-19,0.16,mg/l as P,00665,Total Phosphorus,1,embarrass.xlsx
USGS-03344000,1978-08-01,0.24,mg/l as P,00665,Total Phosphorus,1,embarrass.xlsx
USGS-03344000,1978-09-12,0.16,mg/l as P,00665,Total Phosphorus,1,embarrass.xlsx
USGS-03344000,1978-10-10,0.36,mg/l as P,00665,Total Phosphorus,1,embarrass.xlsx
USGS-03344000,1978-11-14,1.0,mg/l as P,00665,Total Phosphorus,1,embarrass.xlsx
USGS-03344000,1978-12-27,0.12,mg/l as P,00665,Total Phosphorus,1,embarrass.xlsx
USGS-03344000,1979-01-18,0.13,mg/l as P,00665,Total Phosphorus,1,embarrass.xlsx
USGS-03344000,1979-02-14,0.24,mg/l as P,00665,Total Phosphorus,1,embarrass.xlsx
USGS-03344000,1979-03-13,0.15,mg/l as P,00665,Total Phosphorus,1,embarrass.xlsx
USGS-03344000,1979-04-05,0.13,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03344000,1979-05-15,0.18,mg/l as P,00665,Total Phosphorus,1,embarrass.xlsx
USGS-03344000,1979-06-14,0.265,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03344000,1979-07-11,0.3,mg/l as P,00665,Total Phosphorus,1,embarrass.xlsx
USGS-03344000,1979-08-09,0.18,mg/l as P,00665,Total Phosphorus,1,embarrass.xlsx
USGS-03344000,1979-09-12,0.18,mg/l as P,00665,Total Phosphorus,1,embarrass.xlsx
USGS-03344000,1979-10-10,0.455,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03344000,1979-12-17,0.325,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03344000,1980-01-21,0.19,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03344000,1980-04-01,0.19,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03344000,1980-05-01,0.115,mg/l as P,00665,Total Phosphorus,4,embarrass.xlsx
USGS-03344000,1980-07-22,0.2,mg/l as P,00665,Total Phosphorus,1,embarrass.xlsx
USGS-03344000,1980-08-19,0.69,mg/l as P,00665,Total Phosphorus,1,embarrass.xlsx
USGS-03344000,1980-09-18,0.27,mg/l as P,00665,Total Phosphorus,1,embarrass.xlsx
USGS-03344000,1980-10-07,0.16,mg/l as P,00665,Total Phosphorus,1,embarrass.xlsx
USGS-03344000,1981-03-12,0.09,mg/l as P,00665,Total Phosphorus,1,embarrass.xlsx
USGS-03344000,1981-03-25,0.16,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03344000,1981-04-14,0.13,mg/l as P,00665,Total Phosphorus,1,embarrass.xlsx
USGS-03344000,1981-05-15,0.1,mg/l as P,00665,Total Phosphorus,1,embarrass.xlsx
USGS-03344000,1981-06-18,0.12,mg/l as P,00665,Total Phosphorus,1,embarrass.xlsx
USGS-03344000,1981-09-24,0.14100000000000001,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
USGS-03344000,1981-09-30,0.234,mg/l as P,00665,Total Phosphorus,2,embarrass.xlsx
